ardf_num,mrds_num,site,location,quad_250,quad_63360,comm_main,comm_other,ore,gangue,site_type,status,production,dep_model,model_code,alteration,geol_desc,work_expl,comments,expand_ref,rept_names,rept_date,age,rept_aff,prod_notes,reserves,prime_ref,latitude,longitude,datum,source_datum
NM064,A012882,Fred Creek (or Fred Gulch--placer),"Fred Creek is a southern tributary of Stewart River. The creek has been mined in about a half-mile stretch where it leaves the hills northwest of Mount Distin.  The placer is mainly in the NE1/4 section 19, T. 8 S., R. 33 W., Kateel River Meridian.  The l",NM,D-1,Au,Sn,"Cassiterite, gold",,Mine,Inactive,Yes; small,"Placer Au (Cox and Singer, 1986; model 39a).",39a,,"Small-scale placer gold mining took place by 1906 in Fred Creek downstream from the basal massive marble (Bundtzen and others, 1994) contact with schist (Moffit, 1913). Hess (1906, p. 157) reported minor cassiterite in Fred Creek,which he thought could ha",Fred Creek appears to have been worked in at least two periods.  It was mined by 1906 because stream tin was reported by Hess (1906).  Moffit (1913) also noted mining below the marble contact. Some of the creek was been worked in more recent years by smal,Gold in part derived from basal contact zone of massive marble.,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,10/22/1999,Holocene.,"Hawley Resource Group, Inc.",,,"Moffit, 1913",64.783245,-165.427474,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM065,,Jackpot,"The Jackpot prospect is in the eastern headwaters of Boulder Creek, a south tributary to Stewart River.  It is in section 16,  T. 8 S., R. 33 W., Kateel River Meridian.  Alaska State mining claims cover all but the NW1/4NW1/4 of section 16; Jack Gulch is",NM,D-1,Au (?),,Gold,,Prospect,Active,None,"Disseminated and stratabound in metamorphic rocks, or in low sulfide Au-quartz veins (Cox and Singer, 1986; model 36a).",36a?,,"The Jackpot claims were located by following up anomalous concentrations of gold, arsenic, and other metals in stream sediments (Daniel Lajack, written communication, 1999).  The Jackpot claim block is bisected by a strong fault that strikes northeast; it",Surface observation and possibly some sampling has been done here.,,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,10/22/1999,,"Hawley Resource Group, Inc.",,,This report,64.794247,-165.366474,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM066,A012810,"Unnamed (near Hed & [and] Strand, NM070)","The occurrence is at the head of a steep,  unnamed southwest-flowing tributary to Lost Creek, 2.9 miles northeast of Mount Distin. It is in the NW1/4NW1/4 section 14, T. 8 S., R. 33 W., Kateel River Meridian, at an elevation of about 1,350 feet.  It is ap",NM,D-1,Sb,Au (?),Stibnite (?),Quartz (?),Occurrence,Active?,No,"Antimony occurrence in marble, possibly simple Sb deposit (Cox and Singer, 1986; model 27d).",27d?,,Hummel (1962 [MF 248]) identified this locality as an antimony occurrence. Stibnite is probably present as is at least a small amount of gold.  The occurrence is within the claim block of the Bulk Gold prospect (NM071).  It is in massive marble and within,Some surface observation and sampling may have occurred.,,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,10/22/1999,,"Hawley Resource Group, Inc.",,,"Hummel, 1962 (MF 248)",64.798548,-165.311974,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM067,A012898,"Unnamed (near Hed & [and] Strand, NM070)",The occurrence is in a steep canyon that trends west and southwest into upper Lost Creek about 0.2 mile north of the confluence of Dahl Creek (not shown on the 1972 edition of the USGS topographic map) with Lost Creek.  Dahl Creek is the location of the H,NM,D-1,Sb,Au (?),Stibnite (?),Quartz (?),Occurrence,Inactive,None,"Antimony occurrence in marble, possibly simple Sb deposit (Cox and Singer, 1986; model 27d).",27d?,,Hummel (1962 [MF 248]) identified this locality as an antimony occurence.  Stibnite is probably present as is at least a small amount of gold.  The occurrence is within the claim block of the Bulk Gold prospect (NM071).  It appears to be in massive marble,Surface observation and sampling.,,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,10/22/1999,"Probably mid-Cretaceous, similar to most low-sulfide gold deposits and simple antimony veins of the area.","Hawley Resource Group, Inc.",,,"Hummel, 1962 (MF 248)",64.795848,-165.314274,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM068,10307935,"Unnamed (near Hed & [and] Strand, NM070)",The prospect is on the west side of the ridge that separates the west Lost Creek and Dorothy Creek drainages; it is about 3 miles northeast of Mount Distin.  It is about 0.4 mile north-northeast of the Hed & [and] Strand antimony mine (NM070) and at an el,NM,D-1,Sb,Au (?),Stibnite (?),Quartz (?),Occurrence,Active?,None,"Antimony occurrence in marble, possibly simple Sb deposit (Cox and Singer, 1986; model 27d).",27d ?,,"Hummel (1962 [MF 248]) identified this locality as an antimony occurence.  Stibnite is probably present, as is at least a small amount of gold.  The occurrence is within the claim block of the Bulk Gold prospect (NM071).  It appears to be in massive marbl",Surface observation and sampling.,,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,10/22/1999,Probably mid-Cretaceous.,"Hawley Resource Group, Inc.",,,"Hummel, 1962 (MF 248)",64.796648,-165.303074,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM069,A012809,"Unnamed (near Hed & [and] Strand, NM070)","The occurrence is on the ridge north of Dahl Creek (not shown on the 1972 edition of the USGS topographic map), about 2.8 miles northeast of Mount Distin.  Dahl Creek is a west-flowing upper tributary of Lost Creek, a south tributary of Stewart River.  Th",NM,D-1,Sb,Au (?),Stibnite (?),Quartz (?),Occurrence,Active?,None,"Antimony occurrence, possibly simple Sb deposit (Cox and Singer, 1986; model 27d).",27d?,,"Hummel (1962 [MF 248]) identified this locality as an antimony occurrence. It appears to be near locality 45 of Hummel (1975), which is shown as a sulfide-bearing silicified marble.  The occurrence is assumed to contain stibnite and possibly  red and yell","Some surface observation, digging of shallow prospect pits,  and sampling may have occurred.",,"Bundtzen, T.K., Reger, R.D., Laird, G.M., Pinney, D.S., Clautice, K.H., Liss, S.A., and Cruse, G.R., 1994, Progress report on the geology and mineral resources of the Nome mining district: Alaska Division of Geological and Geophysical Surveys, Public Data",C.C. Hawley and Travis L. Hudson,10/22/1999,Probably mid-Cretaceous.,"Hawley Resource Group, Inc.",,,"Hummel, 1962 (MF 248)",64.793848,-165.305174,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM070,A012807,Hed & Strand (Head and Strand),"The Hed & [and] Strand mine is in an east fork of upper Lost Creek, a south tributary to Stewart River; it is about 2.7 miles northeast of Mount Distin. The east fork tributary is known as Dahl Creek or Dahl Gulch (Cathcart, 1922, p. 224).  The property i",NM,D-1,"Au, Sb",,"Arsenopyrite, gold, pyrite, stibnite","Calcite, quartz",Mine,Active,Yes; small,"Simple Sb deposit (Cox and Singer, 1986; model 27d).",27d,Quartz veining and apparently some disseminated pyrite and arsenopyrite in nearby schist.,"The Hed & [and] Strand mine was developed by an adit and drifts on stibnite-bearing quartz veins in metamorphic rocks.  The main vein was intersected 90 feet in from the portal of the adit; it strikes N 45 E and dips 48 N.  At this point, the vein was fol","Stibnite was discovered in Dahl Creek in about 1909, and development followed soon after.  Workings consist of surface pits, an adit,  and underground cross-cuts, drifts, and small stopes. Most of the workings were driven before 1918, and ore was produced",,"Amato, J.M., and Wright, J.E., 1997, Potassic mafic magmatism in the Kigluaik gneiss dome, northern Alaska--A geochemical study of arc magmatism in an extensional tectonic setting: Journal of Geophysical Research, v. B102, no. 4, p. 8065-8084.|Amato, J.M.",C.C. Hawley and Travis L. Hudson,10/22/1999,Mid-Cretaceous?; structures controlling deposits post-date regional metamorphism; mineralization could be similar in age to lode gold deposits of Seward Peninsula.,"Hawley Resource Group, Inc.","About 106 tons of stibnite ore were mined and shipped in 1915 and 1916.  This ore had a low gold content.  Development continued at the mine in the late 1920s and early 1930s.  When Anderson (1947) visited the mine in about 1943,  about 10 tons of 30 perc","Probably a few tens of tons of stibnite ore were left exposed in mine workings (Anderson, 1947).","Mertie, 1918",64.790948,-165.307373,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM071,,Bulk Gold,"The Bulk Gold prospect of Altar Resources consists of a large block of State claims in the upper valley of Dorothy Creek.  The coordinates are near the center of the block of claims; the widespread mineralization include much of sections 13 and 14, parts",NM,D-1,"Au, Sb","As, Bi","Arsenopyrite, gold, stibnite","Calcite, quartz",Prospect,Active,None,"Disseminated gold and stratabound gold in metamorphic rocks, and in gold-arsenopyrite-stibnite quartz veins.",,Quartz veining and apparently some disseminated pyrite and arsenopyrite in nearby schist.,"The Bulk Gold prospect was first identified in 1992 by Altar Resources by following up stream sediment samples anomalous in gold, arsenic, and antimony  (Andover Ventures, 2006, Nome Drill Program; 2007, Gold Results;  2008, Bulk Gold). Between 1993 and 2","The Bulk Gold prospect was first identified in 1992 by Altar Resources by following up stream-sediment anomalies in gold, arsenic, and antimony  (Andover Ventures, 2006, Nome Drill Program; 2007, Gold Results;  2008, Bulk Gold) .  Between 1993 and 2003, A",,"Amato, J.M., and Wright, J.E., 1997, Potassic mafic magmatism in the Kigluaik gneiss dome, northern Alaska--A geochemical study of arc magmatism in an extensional tectonic setting: Journal of Geophysical Research, v. B102, no. 4, p. 8065-8084.|Amato, J.M.","C.C. Hawley and Travis L. Hudson (Hawley Resource Group); D.J. Grybeck  (Port Ludlow, WA); D.J. Grybeck (Port Ludlow, WA)",3/4/2008,Lode gold mineralization on Seward Peninsula is mostly related to higher temperature metamorphism in the mid-Cretaceous.,,,None.,This report,64.790448,-165.290173,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM073,A012913,Christian Creek,Christian Creek is a west-flowing tributary to Nome River; it enters Nome River between Sulphur Creek and Rocky Mountain Creek (NM082).  The location is accurate; it is the approximate mid-point of tailings on the lower creek about a quarter of a mile abo,NM,D-1,Au,W,"Gold, scheelite (?)",,Prospect,Probably inactive,Yes; small,"Placer Au (Cox and Singer, 1986; model 39a).",39a,,"Christian Creek has been placer mined for gold over about 1,000 feet of its length starting a half-mile upstream of its confluence with Nome River.  This mining may have taken place after WW II.  The occurrence of scheelite in a nearby lode (NM075) sugges","Shallow mechanical placer mining took place along about 1,000 feet of the creek, possibly after WW II.",,"Cobb, E.H., 1972, Metallic mineral resources map of the Nome quadrangle, Alaska:  U.S. Geological Survey Miscellaneous Field Studies Map MF-463, 2 sheets, scale 1:250,000.|Cobb, E.H., 1978, Summary of references to mineral occurrences (other than mineral",C.C. Hawley and Travis L. Hudson,10/22/1999,Holocene.,"Hawley Resource Group, Inc.",,,This report,64.79485,-165.202973,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM074,A012812,Unnamed (Christian Creek),"The prospect is near the forks on the south side of the canyon of Christian Creek at an elevation of about 500 feet.  Christian Creek is an east tributary to upper Nome River.  It is locality 33 of Hummel (1962 [MF 248]), and locality 41 of Hummel (1975)",NM,D-1,Cu,,"Chalcopyrite (?), copper carbonates (?)",Quartz,Prospect,Probably inactive,None,"Carbonate-hosted, copper-bearing silica-rich rock.",,Possible development of silica-rich layers; formation of white mica; bleaching of marble; oxidation.,"The prospect is a copper-bearing mineral occurrence contained within calcareous metasedimentary rocks (Hummel,1962 [MF 248]).  It appears to be on the north or hanging wall side of the same fault structure that is adjacent to a nearby scheelite prospect (",A surface prospect pit or trench may be present.,,"Cobb, E.H., 1972, Metallic mineral resources map of the Nome quadrangle, Alaska:  U.S. Geological Survey Miscellaneous Field Studies Map MF-463, 2 sheets, scale 1:250,000.|Cobb, E.H., 1978, Summary of references to mineral occurrences (other than mineral",C.C. Hawley and Travis L. Hudson,10/22/1999,"Late Proterozoic, early Paleozoic, or mid-Cretaceous.","Hawley Resource Group, Inc.",,,"Hummel, 1962 (MF 248)",64.79255,-165.188172,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
NM075,A012811,Unnamed (near Christian Creek),The prospect is on the west side of a north-trending ridge on the south side of Christian Creek; the floodplain of Nome River flanks the ridge on the west.  The prospect is at an elevation of about 700 feet.  It is locality 24 of Hummel (1962 [MF 248]) an,NM,D-1,W,,Scheelite,Quartz (?),Prospect,Probably inactive,Undetermined.,"Low-sulfide, quartz-scheelite vein?",,Quartz veining?,"The prospect is a vein-type occurrence of scheelite (locality 40, Hummel, 1975).  It is mapped as being on the north or hanging wall side of a east-northeast-striking fault (Hummel,1962 [MF 248]).  It is the northernmost of several scheelite occurrences n",The vein is opened by a pit or other shallow surface workings.,,"Cobb, E.H., 1972, Metallic mineral resources map of the Nome quadrangle, Alaska:  U.S. Geological Survey Miscellaneous Field Studies Map MF-463, 2 sheets, scale 1:250,000.|Cobb, E.H., 1978, Summary of references to mineral occurrences (other than mineral",C.C. Hawley and Travis L. Hudson,10/22/1999,,"Hawley Resource Group, Inc.",,,"Hummel, 1962 (MF 248)",64.79185,-165.194472,WGS84,NAD27 (EPSG:4267) reprojected to WGS84 (EPSG:4326)
