slug,name,deposit_type,type_canon,n_ms_matched,best_confidence,matched_claims,source_pages
abrasion_platform_sloughover_general,Abrasion platform / sloughover / offshore deposit (district general),abrasion-platform,abrasion_platform,0,,,51;52
center_creek_beach,Center Creek Beach,abrasion-platform,abrasion_platform,0,,,58
fourth_beach,Fourth Beach (120-foot marine placer surface),abrasion-platform,abrasion_platform,0,,,59
intermediate_beach,Intermediate Beach,abrasion-platform,abrasion_platform,0,,,58
monroeville_beach,Monroeville Beach,abrasion-platform,abrasion_platform,0,,,58
offshore_beach,Offshore Beach,true-beach,strandline_beach,0,,,55
olga_beach,Olga Beach,true-beach,strandline_beach,0,,,55
present_beach,Present Beach,true-beach,strandline_beach,0,,,52
present_beach_abrasion_platform,Present Beach abrasion platform (offshore/sloughover),abrasion-platform,abrasion_platform,0,,,55;56
second_beach,Second Beach,true-beach,strandline_beach,0,,,52;53
second_beach_abrasion_platform,Second Beach abrasion platform (offshore deposit),abrasion-platform,abrasion_platform,0,,,56
second_beach_otter_coarse_gold,Second Beach rich portion west of Otter Creek,true-beach,strandline_beach,0,,,53
submarine_beach,Submarine Beach,abrasion-platform,abrasion_platform,1,rejected,Submarine,58
third_beach,Third Beach,true-beach,strandline_beach,0,,,53;54
third_beach_abrasion_platform,Third Beach abrasion platform (offshore deposit),abrasion-platform,abrasion_platform,0,,,56
true_beach_concentration_general,True beach concentration (district general),true-beach,strandline_beach,0,,,49;51;52
